"api_version","results__corporate_grouping__name","results__corporate_grouping__wikipedia_id","results__corporate_grouping__companies_count","results__corporate_grouping__created_at","results__corporate_grouping__updated_at","results__corporate_grouping__curators__user__name","results__corporate_grouping__curators__user__opencorporates_url","results__corporate_grouping__memberships__membership__source__publisher","results__corporate_grouping__memberships__membership__source__retrieved_at","results__corporate_grouping__memberships__membership__source__url","results__corporate_grouping__memberships__membership__source__source_type","results__corporate_grouping__memberships__membership__company__name","results__corporate_grouping__memberships__membership__company__jurisdiction_code","results__corporate_grouping__memberships__membership__company__company_number","results__corporate_grouping__memberships__membership__company__opencorporates_url","results__corporate_grouping__memberships__membership__company__inactive"
"","","","","","","","","Ben Parker","2016-12-12T11:28:08+00:00","https://opencorporates.com/users/23275","user","TRUMP FORT LEE MEMBER CORP","us_de","4632268","https://opencorporates.com/companies/us_de/4632268","null"
"","","","","","","","","Ben Parker","2016-12-12T11:28:35+00:00","https://opencorporates.com/users/23275","user","TRUMP FORT LEE LLC","us_nj","0600337666","https://opencorporates.com/companies/us_nj/0600337666","null"
"","","","","","","","","Ben Parker","2016-12-12T11:28:52+00:00","https://opencorporates.com/users/23275","user","TRUMP FORT LEE LLC","us_de","4632275","https://opencorporates.com/companies/us_de/4632275","null"
"","","","","","","","","Ben Parker","2016-12-12T11:29:14+00:00","https://opencorporates.com/users/23275","user","TNGC PH MANAGEMENT LLC","us_nj","0600353134","https://opencorporates.com/companies/us_nj/0600353134","null"
"","","","","","","","","Ben Parker","2016-12-12T11:29:54+00:00","https://opencorporates.com/users/23275","user","TNGC PH MANAGEMENT LLC","us_de","4764774","https://opencorporates.com/companies/us_de/4764774","null"
"","","","","","","","","Ben Parker","2016-12-12T11:32:28+00:00","https://opencorporates.com/users/23275","user","DJT Holdings LLC","us_nc","1309242","https://opencorporates.com/companies/us_nc/1309242","False"
"","","","","","","","","Ben Parker","2016-12-12T11:33:07+00:00","https://opencorporates.com/users/23275","user","DJT Holdings LLC","us_va","T0469603","https://opencorporates.com/companies/us_va/T0469603","False"
"","","","","","","","","Ben Parker","2016-12-12T11:34:37+00:00","https://opencorporates.com/users/23275","user","T International Realty LLC","us_nc","1299572","https://opencorporates.com/companies/us_nc/1299572","False"
"","","","","","","","","Ben Parker","2016-12-12T11:38:29+00:00","https://opencorporates.com/users/23275","user","TRUMP MARINA, INC.","us_nj","0100257620","https://opencorporates.com/companies/us_nj/0100257620","null"
"","","","","","","","","Ben Parker","2016-12-12T11:44:12+00:00","https://opencorporates.com/users/23275","user","TRUMP OCEAN CLUB 3126 CORP.","pa","741258","https://opencorporates.com/companies/pa/741258","False"
